,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
53,2.6686845,1.4967067,3.367979,2.9287047,1.7355782,3.7880857,1.6398383,2.1472971,1.4699166,2.8195338
54,2.6661115,1.5113136,3.3289502,2.9065468,1.6478641,3.7724094,1.5329393,2.2057912,1.4816407,2.7998078
55,2.6680155,1.606885,3.4022362,2.8827405,1.5963042,3.7579114,1.6008018,2.109126,1.4492407,2.812035
56,2.6732678,1.5846764,3.2861204,2.893846,1.7458303,3.5291173,1.5620896,2.1344953,1.486762,2.7866673
57,2.6777937,1.5315963,3.3316476,2.8785677,1.7047106,3.5147653,1.5465685,1.9533257,1.4376888,2.7814581
58,2.6771266,1.4807148,3.3063254,2.868545,1.7610236,3.437189,1.4976209,1.9430263,1.4940224,2.764123
59,2.6817055,1.4950694,3.161866,2.886189,1.673629,3.3469796,1.5496571,1.9002259,1.4927946,2.7441201
60,2.6776357,1.4744989,3.2437978,2.8415723,1.6887497,3.2860785,1.4286759,1.9190112,1.4774607,2.772253
61,2.6823668,1.4791479,3.138531,2.8467283,1.6278462,3.1925852,1.5551226,1.9499586,1.5282453,2.7440145
62,2.6818438,1.4285846,3.112947,2.8211372,1.6242746,3.2471704,1.446485,1.8862718,1.4558107,2.7558749
63,2.6736753,1.4859849,3.1683993,2.8122022,1.5848455,3.1522841,1.5270537,1.8995298,1.4670179,2.7586775
64,2.6837924,1.4250953,3.186764,2.831902,1.6388398,3.1508164,1.416616,1.9089037,1.4805682,2.7492673
65,2.6758502,1.4258959,3.156661,2.7777808,1.62116,3.0745544,1.5331119,1.8470472,1.5483894,2.7435234
66,2.6834807,1.5013332,3.1402376,2.7560983,1.6451089,3.0415173,1.5212934,1.6929017,1.5393482,2.7432904
67,2.6798537,1.4742416,3.1133912,2.7587032,1.5645317,3.048973,1.5070469,1.7416927,1.5009018,2.7465909
68,2.6730824,1.4627107,3.0886393,2.7532172,1.6725014,3.0060043,1.5244994,1.6644398,1.513196,2.7424111
69,2.6727328,1.4196386,3.058501,2.7518275,1.6505651,3.0137935,1.5101333,1.6674976,1.5503937,2.7630684
70,2.6563227,1.4555264,3.0420034,2.723952,1.5903484,2.9861946,1.4717134,1.6935612,1.5311607,2.7412996
71,2.6643715,1.4559859,3.0825777,2.7153635,1.596076,2.9516506,1.4297059,1.6605195,1.5340126,2.7530184
72,2.6654086,1.4908903,3.0533965,2.7110612,1.5649965,2.9815793,1.4217597,1.6678562,1.469168,2.7609766
73,2.6539593,1.488182,3.0714939,2.711605,1.557002,2.9328947,1.4807098,1.6226798,1.4334799,2.7481856
74,2.6594057,1.4997631,3.0223467,2.6962044,1.5502297,2.9343278,1.4648557,1.6001056,1.4969767,2.7626326
75,2.6596248,1.4804486,2.9644651,2.7086313,1.5762012,2.9107335,1.4587721,1.6301309,1.4600637,2.743123
76,2.6568983,1.4653685,3.0000107,2.7006028,1.5136731,2.9234948,1.5168288,1.634303,1.499265,2.7609518
77,2.659146,1.4179227,2.9582505,2.7121215,1.5406247,2.9427788,1.5002129,1.6044763,1.5185957,2.7687685
78,2.646667,1.420881,3.0094564,2.6973052,1.528302,2.9014986,1.4877615,1.6204022,1.4722635,2.7431839
79,2.6558442,1.4674234,2.996242,2.7023742,1.551912,2.9079251,1.4487572,1.6074758,1.4886438,2.7409275
80,2.633443,1.4797223,3.0040004,2.700342,1.5202485,2.9381654,1.4230505,1.6193731,1.4526007,2.749685
81,2.6376,1.4478292,3.0103002,2.6991572,1.4961132,2.9171555,1.4479654,1.5493991,1.4634752,2.7550108
82,2.6494296,1.4253691,2.956858,2.6935344,1.5483383,2.9331148,1.4381031,1.6308147,1.4362687,2.7836442
83,2.6387153,1.4123031,2.9815073,2.6868196,1.5816315,2.9190443,1.4559852,1.6314619,1.458967,2.7499568
84,2.6390529,1.4552964,2.9612467,2.6982036,1.5425521,2.938554,1.4445982,1.6372014,1.4542083,2.7621963
85,2.628237,1.4639317,2.9300096,2.6886535,1.5952927,2.931811,1.4234891,1.5692735,1.4637253,2.7560954
86,2.6125636,1.4842018,2.9168468,2.6984954,1.594483,2.9367998,1.4419924,1.558926,1.4814465,2.7467937
87,2.6154013,1.4308014,2.9826937,2.689217,1.5457323,2.9664087,1.4300066,1.5224993,1.4487376,2.7654548
88,2.599284,1.4683976,2.9790382,2.6950712,1.4959368,2.917517,1.4217709,1.4893599,1.4862283,2.7453022
89,2.6035612,1.4462086,2.9944243,2.689251,1.5397862,2.9046762,1.4705302,1.5577015,1.4839419,2.7440178
90,2.5807161,1.4772067,3.0099616,2.6938925,1.5352926,2.9082294,1.4689115,1.4825585,1.4931548,2.7391942
91,2.5810704,1.4085355,2.9561174,2.6897624,1.5765226,2.904675,1.4779509,1.4745064,1.4532216,2.731015
92,2.5728533,1.484379,2.9635477,2.6815393,1.5213549,2.8905418,1.482566,1.5049291,1.4726684,2.7420504
93,2.5550268,1.4517992,2.9567983,2.697324,1.6437802,2.899935,1.5350198,1.4885134,1.4164013,2.737752
94,2.5379498,1.4363927,2.9271626,2.6862893,1.5344,2.8948398,1.4313747,1.443203,1.4327449,2.7316496
95,2.4925673,1.5136741,2.959015,2.6784317,1.5041671,2.9633205,1.4849136,1.4508508,1.4248658,2.7518008
96,2.509583,1.5039122,2.9303174,2.6869402,1.5528111,2.9008348,1.4098809,1.5604106,1.4651753,2.75011
97,2.4832375,1.4918681,2.9657004,2.6843698,1.4976028,2.9345984,1.4485408,1.4223634,1.4096266,2.752258
98,2.4918888,1.4271038,3.0082767,2.6872652,1.5335237,2.9302127,1.3891987,1.4749591,1.4823371,2.7343006
99,2.510854,1.4435581,2.9260662,2.6978955,1.5780475,2.9142008,1.474398,1.4211059,1.4829814,2.7193463
100,2.5003011,1.4282445,2.9695268,2.6888034,1.5661852,2.9325087,1.4038415,1.5139941,1.4556186,2.7608483
101,2.491952,1.4320726,2.9320476,2.7042325,1.5118033,2.9293423,1.4762187,1.4954404,1.5112275,2.7341115
102,2.5026433,1.4055593,2.9183218,2.6837459,1.5698704,2.9309225,1.4250704,1.4852272,1.4369994,2.738662
103,2.5349207,1.4655269,2.9559927,2.6775239,1.5456065,2.918297,1.4520137,1.5370854,1.4469124,2.7492528
104,2.5645576,1.4219007,3.0027368,2.6741767,1.5887892,2.9259865,1.3639408,1.5372207,1.4517618,2.734541
105,2.570152,1.4196582,2.9747076,2.6838126,1.5479925,2.9127324,1.47802,1.5160474,1.5254626,2.7254674
106,2.6057806,1.4848936,2.973459,2.6563454,1.556357,2.9207962,1.4356074,1.4168966,1.4971017,2.7327342
107,2.5772102,1.4620377,2.965456,2.6708114,1.4829973,2.9293272,1.4380931,1.5461195,1.4795287,2.736171
108,2.5704575,1.4425743,2.9852514,2.685273,1.529648,2.9132626,1.471517,1.4990447,1.4534158,2.7270575
109,2.5484574,1.4100722,2.9649851,2.6967976,1.5592848,2.919867,1.4698312,1.4594394,1.4814335,2.752443
110,2.482543,1.4476568,2.906039,2.675631,1.5422238,2.9227138,1.4322981,1.4804235,1.4491473,2.721904
111,2.479654,1.4288635,2.9652145,2.6766384,1.5610019,2.9022,1.4017423,1.4539019,1.5189282,2.7419682
112,2.4673645,1.484704,2.9730978,2.663298,1.5569007,2.9448092,1.3985426,1.5133096,1.4424434,2.7465694
