,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
54,3.3950965,1.6556766,8.16868,5.610936,1.9732815,9.58189,1.8716632,2.00241,1.7675797,6.034715
55,3.3668647,1.6402738,8.047304,5.517891,1.9762957,9.416471,1.8615752,1.9981494,1.7595041,5.850138
56,3.3338583,1.6237352,7.836383,5.422003,1.9687104,9.222568,1.8443972,1.9906011,1.7494942,5.656947
57,3.3310592,1.606492,7.7224317,5.414731,1.9743098,9.111355,1.8386331,1.9811997,1.7413908,5.559618
58,3.2877803,1.5750045,7.521471,5.293023,1.9671866,8.875725,1.8188564,1.9662752,1.7268728,5.3841243
59,3.2646732,1.5651615,7.3390374,5.235326,1.9642305,8.731463,1.8002268,1.9508662,1.710542,5.282467
60,3.2372396,1.5366356,7.172267,5.1877227,1.9611264,8.510712,1.7831676,1.9438554,1.6968635,5.1435814
61,3.1923113,1.5188408,6.9307585,5.0919347,1.9549766,8.265018,1.763577,1.9194303,1.6723162,5.012392
62,3.1703947,1.503911,6.79882,5.051283,1.9608618,8.168492,1.7516822,1.9153012,1.669716,4.9382987
63,3.1568668,1.4955449,6.6059413,5.0196342,1.9494264,7.965247,1.7228471,1.9007106,1.6504304,4.872058
64,3.1389592,1.4750185,6.5098853,5.012381,1.9512558,7.8888297,1.7040979,1.8920853,1.6367614,4.8228574
65,3.1046624,1.4834925,6.3155847,4.9387126,1.942374,7.708184,1.676787,1.8655602,1.6158813,4.731141
66,3.0835671,1.4762301,6.200389,4.9130015,1.94207,7.538141,1.6539056,1.85839,1.5993042,4.6615896
67,3.0414822,1.4703126,6.0079246,4.841177,1.9281906,7.365259,1.6189564,1.8337841,1.5708733,4.5869555
68,3.0364568,1.468649,5.9571548,4.847372,1.9324039,7.321829,1.5998824,1.8248489,1.5547044,4.5798364
69,3.0134182,1.4765507,5.841702,4.813937,1.9218398,7.2240953,1.5675029,1.806374,1.5384445,4.534923
70,2.9862237,1.4744611,5.6837645,4.777301,1.9157022,7.0930047,1.5370594,1.7828101,1.5179557,4.4681935
71,2.9495666,1.4803456,5.5405254,4.6956105,1.9057057,6.95938,1.5156769,1.7567905,1.503533,4.4032397
72,2.9378462,1.4842299,5.5035515,4.7068124,1.8959419,6.8965325,1.4951446,1.7452718,1.4885182,4.39535
73,2.9082398,1.4811674,5.382223,4.6624846,1.8913909,6.7945275,1.4963967,1.726479,1.4803686,4.354551
74,2.8853643,1.4823931,5.3035536,4.627057,1.877842,6.7464724,1.4839915,1.701786,1.4773033,4.3322697
75,2.8549852,1.4716651,5.2154884,4.5737467,1.8655922,6.632888,1.4862652,1.6857709,1.4767714,4.2685986
76,2.8384106,1.4764034,5.1221175,4.5402036,1.8635672,6.5685763,1.4946761,1.6725787,1.4691769,4.2414393
77,2.8263795,1.4585388,5.133836,4.562714,1.8521576,6.567314,1.5026166,1.664226,1.4737383,4.2605104
78,2.7925112,1.4614735,5.008319,4.499342,1.8432372,6.472271,1.4957253,1.658256,1.4762045,4.1962047
79,2.7820947,1.4477588,4.9752684,4.491898,1.8295311,6.45367,1.4926876,1.6515701,1.4835191,4.18391
80,2.7330308,1.4606565,4.853024,4.3985767,1.8127505,6.3071194,1.4974328,1.6334776,1.4909396,4.1108503
81,2.7321086,1.443315,4.8415055,4.40461,1.8023072,6.3278027,1.4905193,1.6269454,1.4838091,4.137779
82,2.706797,1.4427997,4.80843,4.373916,1.7850041,6.2539306,1.4764838,1.6069363,1.4941074,4.108887
83,2.6875572,1.4470437,4.747845,4.315479,1.7656151,6.201914,1.4657353,1.597529,1.5051767,4.063012
84,2.6697638,1.4437518,4.7242265,4.324274,1.7628019,6.1843047,1.4858389,1.5865508,1.484609,4.0647244
85,2.6561778,1.4488791,4.701349,4.295016,1.7445337,6.1773796,1.4693701,1.5782646,1.5073837,4.0576973
86,2.6348193,1.4403049,4.635314,4.2481284,1.7232069,6.087034,1.4576302,1.5607035,1.4830004,4.0097594
87,2.6162813,1.4471419,4.639364,4.2346263,1.7067813,6.090745,1.4614438,1.567676,1.4814594,4.014961
88,2.5979161,1.4527775,4.5623384,4.1834826,1.6898217,6.0057373,1.4521258,1.5470585,1.4720211,3.9686677
89,2.5801277,1.4475338,4.5585423,4.184595,1.6755286,6.0281935,1.4512228,1.5387625,1.4753482,3.970502
90,2.5600543,1.4425938,4.5122557,4.130548,1.6586343,5.953825,1.4509764,1.5112008,1.4619893,3.93358
91,2.5525725,1.4402815,4.534816,4.1373935,1.6433923,5.999549,1.4462638,1.4984548,1.4645277,3.9477963
92,2.5275493,1.4462059,4.4717717,4.089501,1.622062,5.899573,1.4442476,1.483857,1.4630387,3.8922157
93,2.521006,1.4370897,4.4481864,4.053064,1.6101531,5.877776,1.4458877,1.4826124,1.4694654,3.8873832
94,2.4957373,1.4357789,4.4261518,4.041434,1.592764,5.8553305,1.4425193,1.4602478,1.4603909,3.8757536
95,2.4849696,1.442105,4.401328,4.0021706,1.5829103,5.8159494,1.4414235,1.4684122,1.4565428,3.8461902
96,2.46981,1.4476156,4.3646636,3.9672916,1.5671484,5.7748637,1.4388355,1.4660466,1.463363,3.820238
97,2.463494,1.4485878,4.3870854,3.9789958,1.5560514,5.8137975,1.4429461,1.4504172,1.4607903,3.840655
98,2.4468546,1.4325255,4.3388805,3.9202178,1.5485399,5.735152,1.4394652,1.4551761,1.4592097,3.7971122
99,2.438226,1.4495875,4.3175645,3.8878512,1.5433397,5.731949,1.4376063,1.4435503,1.4615238,3.792243
100,2.423576,1.434231,4.3014426,3.8668504,1.534756,5.6981025,1.4350439,1.4603927,1.4568917,3.7620866
101,2.4049826,1.4387106,4.258396,3.8197484,1.5344946,5.6132874,1.4411558,1.4459915,1.4472368,3.7329404
102,2.4016838,1.441449,4.239772,3.7831743,1.5476215,5.6287174,1.449262,1.458715,1.4629043,3.71639
103,2.3913965,1.4482572,4.230205,3.7743397,1.5338235,5.589185,1.4309541,1.4636607,1.4651121,3.7180002
104,2.388781,1.4325052,4.236505,3.7652712,1.5447887,5.6175923,1.434414,1.4636116,1.4610468,3.7131426
105,2.3733506,1.4492027,4.1995606,3.7237768,1.5507978,5.5618978,1.4393847,1.4481139,1.4667537,3.6873822
