True entropies,Estimated entropies
4.116412833011605,5.8479443
4.104698550434191,5.7680893
4.11197206863908,5.7781525
4.125104111289213,5.696139
4.108428897626562,5.624017
4.131300509958404,5.635542
4.114078594570483,5.545926
4.11151430922967,5.5235553
4.100873705205069,5.4695525
4.113376548011388,5.4462585
4.116412833011605,5.4140897
4.104698550434191,5.3611403
4.11197206863908,5.38565
4.125104111289213,5.3437176
4.108428897626562,5.296718
4.131300509958404,5.3184056
4.114078594570483,5.2556014
4.11151430922967,5.24704
4.100873705205069,5.2201533
4.113376548011388,5.2043014
4.116412833011605,5.193443
4.104698550434191,5.152302
4.11197206863908,5.1805053
4.125104111289213,5.1588144
4.108428897626562,5.1244507
4.131300509958404,5.149352
4.114078594570483,5.100117
4.11151430922967,5.097595
4.100873705205069,5.0818367
4.113376548011388,5.06849
4.116412833011605,5.0688524
4.104698550434191,5.0319386
4.11197206863908,5.0598965
4.125104111289213,5.048188
4.108428897626562,5.020001
4.131300509958404,5.0454793
4.114078594570483,5.002921
4.11151430922967,5.0027733
4.100873705205069,4.9918237
4.113376548011388,4.9793377
4.116412833011605,4.9856524
4.104698550434191,4.9503036
4.11197206863908,4.9772515
4.125104111289213,4.9707446
4.108428897626562,4.945348
4.131300509958404,4.9709616
4.114078594570483,4.931659
4.11151430922967,4.9322248
4.100873705205069,4.922953
4.113376548011388,4.910889
4.116412833011605,4.9198546
4.104698550434191,4.885007
4.11197206863908,4.9106445
4.125104111289213,4.9066653
4.108428897626562,4.882213
4.131300509958404,4.907925
4.114078594570483,4.870132
4.11151430922967,4.8705907
4.100873705205069,4.86158
4.113376548011388,4.8501353
4.116412833011605,4.859966
4.104698550434191,4.825395
4.11197206863908,4.8496437
4.125104111289213,4.8469577
4.108428897626562,4.822666
4.131300509958404,4.8487115
4.114078594570483,4.8116326
4.11151430922967,4.811561
4.100873705205069,4.802202
4.113376548011388,4.791877
4.116412833011605,4.8016524
4.104698550434191,4.767452
4.11197206863908,4.7902055
4.125104111289213,4.7883615
4.108428897626562,4.764142
4.131300509958404,4.7907734
4.114078594570483,4.7541623
4.11151430922967,4.753354
4.100873705205069,4.743496
4.113376548011388,4.734978
4.116412833011605,4.74423
4.104698550434191,4.7107353
4.11197206863908,4.7317905
4.125104111289213,4.731034
4.108428897626562,4.7069087
4.131300509958404,4.734387
4.114078594570483,4.6983285
4.11151430922967,4.6967034
4.100873705205069,4.6864285
4.113376548011388,4.6801314
4.116412833011605,4.6885767
4.104698550434191,4.655955
4.11197206863908,4.675177
4.125104111289213,4.675776
4.108428897626562,4.6515284
4.131300509958404,4.6799903
4.114078594570483,4.6443186
4.11151430922967,4.6417303
4.100873705205069,4.6308303
4.113376548011388,4.627308
4.116412833011605,4.6348305
4.104698550434191,4.6031666
4.11197206863908,4.6204576
4.125104111289213,4.623086
4.108428897626562,4.5988145
4.131300509958404,4.6284904
4.114078594570483,4.5934334
4.11151430922967,4.58986
4.100873705205069,4.578517
4.113376548011388,4.5780287
4.116412833011605,4.5850735
4.104698550434191,4.554719
4.11197206863908,4.5701303
4.125104111289213,4.575237
4.108428897626562,4.5513344
4.131300509958404,4.581924
4.114078594570483,4.54791
4.11151430922967,4.5432744
4.100873705205069,4.532376
4.113376548011388,4.533966
4.116412833011605,4.541543
4.104698550434191,4.512659
4.11197206863908,4.5266366
4.125104111289213,4.534353
4.108428897626562,4.5109696
4.131300509958404,4.542347
4.114078594570483,4.509533
4.11151430922967,4.503996
4.100873705205069,4.4946046
4.113376548011388,4.496934
4.116412833011605,4.50594
4.104698550434191,4.4783125
4.11197206863908,4.4914165
4.125104111289213,4.501511
4.108428897626562,4.4784803
4.131300509958404,4.5107
4.114078594570483,4.4787164
4.11151430922967,4.4726315
4.100873705205069,4.4644675
4.113376548011388,4.466786
4.116412833011605,4.4770722
4.104698550434191,4.450238
4.11197206863908,4.4627223
4.125104111289213,4.474106
4.108428897626562,4.4513717
4.131300509958404,4.4838033
4.114078594570483,4.452454
4.11151430922967,4.4464173
4.100873705205069,4.4380803
4.113376548011388,4.440496
4.116412833011605,4.451463
4.104698550434191,4.425307
4.11197206863908,4.4374857
4.125104111289213,4.4491687
4.108428897626562,4.4269133
4.131300509958404,4.4592285
4.114078594570483,4.4287186
4.11151430922967,4.423292
4.100873705205069,4.4140515
4.113376548011388,4.4170456
4.116412833011605,4.428273
4.104698550434191,4.4030037
4.11197206863908,4.4150033
4.125104111289213,4.426732
4.108428897626562,4.405036
4.131300509958404,4.437255
4.114078594570483,4.4075456
4.11151430922967,4.4026556
4.100873705205069,4.3926153
4.113376548011388,4.396293
4.116412833011605,4.407546
4.104698550434191,4.383088
4.11197206863908,4.3948393
4.125104111289213,4.4067035
4.108428897626562,4.3854275
4.131300509958404,4.417536
4.114078594570483,4.3884525
4.11151430922967,4.3837776
4.100873705205069,4.373368
4.113376548011388,4.3775725
4.116412833011605,4.388787
4.104698550434191,4.3650045
4.11197206863908,4.376429
4.125104111289213,4.388607
4.108428897626562,4.367584
4.131300509958404,4.399603
4.114078594570483,4.371028
4.11151430922967,4.3664103
4.100873705205069,4.3559
4.113376548011388,4.3604984
4.116412833011605,4.371654
4.104698550434191,4.3484583
4.11197206863908,4.359583
4.125104111289213,4.3720922
4.108428897626562,4.3512483
4.131300509958404,4.383157
4.114078594570483,4.3550377
4.11151430922967,4.3504696
4.100873705205069,4.33991
4.113376548011388,4.344851
4.116412833011605,4.3559117
4.104698550434191,4.3332305
4.11197206863908,4.344128
4.125104111289213,4.3568773
4.108428897626562,4.3361945
4.131300509958404,4.3679557
4.114078594570483,4.340264
4.11151430922967,4.335798
4.100873705205069,4.3251534
4.113376548011388,4.330427
4.116412833011605,4.3413463
4.104698550434191,4.3191376
4.11197206863908,4.329866
4.125104111289213,4.34277
4.108428897626562,4.322244
4.131300509958404,4.353822
4.114078594570483,4.326544
4.11151430922967,4.3222084
4.100873705205069,4.3114696
4.113376548011388,4.3170624
4.116412833011605,4.3277984
4.104698550434191,4.3060346
4.11197206863908,4.3166227
4.125104111289213,4.329642
4.108428897626562,4.309266
4.131300509958404,4.3406353
4.114078594570483,4.313752
4.11151430922967,4.309541
4.100873705205069,4.2987366
4.113376548011388,4.304632
4.116412833011605,4.315157
4.104698550434191,4.293808
4.11197206863908,4.3042736
4.125104111289213,4.317392
4.108428897626562,4.297157
4.131300509958404,4.3282933
4.114078594570483,4.301787
4.11151430922967,4.297686
4.100873705205069,4.286872
4.113376548011388,4.293037
4.116412833011605,4.303332
4.104698550434191,4.2823734
4.11197206863908,4.292741
4.125104111289213,4.3059354
4.108428897626562,4.285831
4.131300509958404,4.31673
4.114078594570483,4.290581
4.11151430922967,4.2865834
4.100873705205069,4.275773
4.113376548011388,4.2821994
4.116412833011605,4.292255
4.104698550434191,4.271664
4.11197206863908,4.281951
4.125104111289213,4.295206
4.108428897626562,4.2752233
4.131300509958404,4.3058786
4.114078594570483,4.2800736
4.11151430922967,4.276174
4.100873705205069,4.265383
4.113376548011388,4.272056
4.116412833011605,4.281872
4.104698550434191,4.2616234
4.11197206863908,4.2718453
4.125104111289213,4.285149
4.108428897626562,4.265274
4.131300509958404,4.295696
4.114078594570483,4.2702217
4.11151430922967,4.2664165
4.100873705205069,4.2556405
4.113376548011388,4.262556
4.116412833011605,4.272134
4.104698550434191,4.252207
4.11197206863908,4.2623754
4.125104111289213,4.275715
4.108428897626562,4.255947
4.131300509958404,4.286125
4.114078594570483,4.260971
4.11151430922967,4.2572603
4.100873705205069,4.2465076
4.113376548011388,4.253654
4.116412833011605,4.2629952
4.104698550434191,4.2433734
4.11197206863908,4.253492
4.125104111289213,4.266862
4.108428897626562,4.2471967
4.131300509958404,4.277136
4.114078594570483,4.2522893
4.11151430922967,4.24867
4.100873705205069,4.237935
4.113376548011388,4.2453094
4.116412833011605,4.2544165
4.104698550434191,4.2350845
4.11197206863908,4.2451506
4.125104111289213,4.2585506
4.108428897626562,4.2389846
4.131300509958404,4.268694
4.114078594570483,4.2441397
4.11151430922967,4.240609
4.100873705205069,4.22989
4.113376548011388,4.2374783
4.116412833011605,4.2463565
4.104698550434191,4.2273064
4.11197206863908,4.2373195
4.125104111289213,4.2507467
4.108428897626562,4.231278
4.131300509958404,4.2607617
4.114078594570483,4.236488
4.11151430922967,4.233041
4.100873705205069,4.222337
4.113376548011388,4.2301264
4.116412833011605,4.2387867
4.104698550434191,4.2200046
4.11197206863908,4.2299685
4.125104111289213,4.2434173
4.108428897626562,4.224039
4.131300509958404,4.253304
4.114078594570483,4.2293034
4.11151430922967,4.2259326
4.100873705205069,4.2152443
4.113376548011388,4.22322
4.116412833011605,4.231675
4.104698550434191,4.213151
4.11197206863908,4.2230635
4.125104111289213,4.236533
4.108428897626562,4.2172413
4.131300509958404,4.2462935
4.114078594570483,4.2225566
4.11151430922967,4.2192593
4.100873705205069,4.2085805
4.113376548011388,4.216733
4.116412833011605,4.224996
4.104698550434191,4.2067156
4.11197206863908,4.2165823
4.125104111289213,4.2300644
4.108428897626562,4.2108607
4.131300509958404,4.2397
4.114078594570483,4.2162104
4.11151430922967,4.212981
4.100873705205069,4.202332
4.113376548011388,4.210637
4.116412833011605,4.2187223
4.104698550434191,4.200669
4.11197206863908,4.210492
4.125104111289213,4.223988
4.108428897626562,4.204864
4.131300509958404,4.233501
4.114078594570483,4.2102532
4.11151430922967,4.2070875
4.100873705205069,4.1964436
4.113376548011388,4.2049165
4.116412833011605,4.2128205
4.104698550434191,4.1949844
4.11197206863908,4.2047615
4.125104111289213,4.2182755
4.108428897626562,4.1992297
4.131300509958404,4.2276664
4.114078594570483,4.204653
4.11151430922967,4.201549
4.100873705205069,4.190913
4.113376548011388,4.199534
4.116412833011605,4.2072654
4.104698550434191,4.1896424
4.11197206863908,4.199375
4.125104111289213,4.2129006
4.108428897626562,4.193933
4.131300509958404,4.2221727
4.114078594570483,4.199389
4.11151430922967,4.196349
4.100873705205069,4.185706
4.113376548011388,4.1944795
4.116412833011605,4.2020335
4.104698550434191,4.184621
4.11197206863908,4.194307
4.125104111289213,4.207848
4.108428897626562,4.188953
4.131300509958404,4.2170033
4.114078594570483,4.194431
4.11151430922967,4.191453
4.100873705205069,4.1808195
4.113376548011388,4.18972
4.116412833011605,4.197118
4.104698550434191,4.1798997
4.11197206863908,4.189536
4.125104111289213,4.2030973
4.108428897626562,4.1842694
4.131300509958404,4.212138
4.114078594570483,4.1897736
4.11151430922967,4.1868534
4.100873705205069,4.1762094
4.113376548011388,4.18525
4.116412833011605,4.1924877
4.104698550434191,4.1754646
4.11197206863908,4.1850467
4.125104111289213,4.1986213
4.108428897626562,4.179859
4.131300509958404,4.2075524
4.114078594570483,4.185388
4.11151430922967,4.182524
4.100873705205069,4.171879
4.113376548011388,4.1810455
4.116412833011605,4.1881294
4.104698550434191,4.1712976
4.11197206863908,4.180829
4.125104111289213,4.1944103
4.108428897626562,4.1757097
4.131300509958404,4.2032304
4.114078594570483,4.1812572
4.11151430922967,4.178443
4.100873705205069,4.1678014
4.113376548011388,4.1770916
4.116412833011605,4.184022
4.104698550434191,4.1673756
4.11197206863908,4.1768546
4.125104111289213,4.190446
4.108428897626562,4.1717997
4.131300509958404,4.1991625
4.114078594570483,4.177371
4.11151430922967,4.1746006
4.100873705205069,4.163962
4.113376548011388,4.1733747
4.116412833011605,4.180156
4.104698550434191,4.1636834
4.11197206863908,4.1731167
4.125104111289213,4.1867113
4.108428897626562,4.168114
4.131300509958404,4.1953263
4.114078594570483,4.1737103
4.11151430922967,4.1709867
4.100873705205069,4.160335
4.113376548011388,4.169882
4.116412833011605,4.1765122
4.104698550434191,4.1602135
4.11197206863908,4.1695952
4.125104111289213,4.183191
4.108428897626562,4.164648
4.131300509958404,4.1917114
4.114078594570483,4.170257
4.11151430922967,4.1675744
4.100873705205069,4.1569366
4.113376548011388,4.1665893
4.116412833011605,4.173084
4.104698550434191,4.156946
4.11197206863908,4.166282
4.125104111289213,4.179879
4.108428897626562,4.1613846
4.131300509958404,4.1883135
4.114078594570483,4.1670103
4.11151430922967,4.164364
4.100873705205069,4.1537232
4.113376548011388,4.163492
4.116412833011605,4.169853
4.104698550434191,4.1538687
4.11197206863908,4.1631618
4.125104111289213,4.1767664
4.108428897626562,4.15831
4.131300509958404,4.18511
4.114078594570483,4.163952
4.11151430922967,4.1613393
4.100873705205069,4.150709
4.113376548011388,4.160574
4.116412833011605,4.166811
4.104698550434191,4.1509733
4.11197206863908,4.160225
4.125104111289213,4.1738367
4.108428897626562,4.1554155
4.131300509958404,4.1820908
4.114078594570483,4.161074
4.11151430922967,4.158492
4.100873705205069,4.1478615
4.113376548011388,4.15783
4.116412833011605,4.163943
4.104698550434191,4.1482463
4.11197206863908,4.157457
4.125104111289213,4.171076
4.108428897626562,4.1526875
4.131300509958404,4.1792436
4.114078594570483,4.1583624
4.11151430922967,4.1558104
4.100873705205069,4.1451864
4.113376548011388,4.1552444
4.116412833011605,4.1612396
4.104698550434191,4.145679
4.11197206863908,4.15485
4.125104111289213,4.168471
4.108428897626562,4.1501155
4.131300509958404,4.1765556
4.114078594570483,4.155809
4.11151430922967,4.1532845
4.100873705205069,4.1426625
4.113376548011388,4.1528106
4.116412833011605,4.158689
4.104698550434191,4.14326
4.11197206863908,4.15239
4.125104111289213,4.1660147
4.108428897626562,4.1476912
4.131300509958404,4.1740203
4.114078594570483,4.1534033
4.11151430922967,4.150906
4.100873705205069,4.1402826
4.113376548011388,4.150518
4.116412833011605,4.156284
4.104698550434191,4.140981
4.11197206863908,4.150071
4.125104111289213,4.1637
4.108428897626562,4.1454067
4.131300509958404,4.171627
4.114078594570483,4.151134
4.11151430922967,4.1486616
4.100873705205069,4.1380396
4.113376548011388,4.148358
4.116412833011605,4.1540146
4.104698550434191,4.138833
4.11197206863908,4.147883
4.125104111289213,4.1615186
4.108428897626562,4.143251
4.131300509958404,4.1693697
4.114078594570483,4.148994
4.11151430922967,4.146547
4.100873705205069,4.1359234
4.113376548011388,4.1463213
4.116412833011605,4.151873
4.104698550434191,4.1368084
4.11197206863908,4.145821
4.125104111289213,4.1594577
4.108428897626562,4.1412187
4.131300509958404,4.1672354
4.114078594570483,4.1469765
4.11151430922967,4.1445546
4.100873705205069,4.1339226
4.113376548011388,4.1444035
4.116412833011605,4.14985
4.104698550434191,4.1349
4.11197206863908,4.1438727
4.125104111289213,4.1575108
4.108428897626562,4.1393013
4.131300509958404,4.1652184
4.114078594570483,4.145074
4.11151430922967,4.142676
4.100873705205069,4.13204
4.113376548011388,4.1425934
4.116412833011605,4.1479416
4.104698550434191,4.1331
4.11197206863908,4.1420355
4.125104111289213,4.1556773
4.108428897626562,4.1374955
4.131300509958404,4.1633143
4.114078594570483,4.143279
4.11151430922967,4.1409035
4.100873705205069,4.1302624
4.113376548011388,4.1408877
4.116412833011605,4.1461377
4.104698550434191,4.1314025
4.11197206863908,4.140302
4.125104111289213,4.153948
4.108428897626562,4.1357913
4.131300509958404,4.161519
4.114078594570483,4.141588
4.11151430922967,4.139233
4.100873705205069,4.1285872
4.113376548011388,4.1392817
4.116412833011605,4.144436
4.104698550434191,4.129804
4.11197206863908,4.1386685
4.125104111289213,4.1523156
4.108428897626562,4.134184
4.131300509958404,4.1598225
4.114078594570483,4.139993
4.11151430922967,4.137657
4.100873705205069,4.1270084
4.113376548011388,4.1377697
4.116412833011605,4.1428304
4.104698550434191,4.1282983
4.11197206863908,4.137128
4.125104111289213,4.1507773
4.108428897626562,4.132668
4.131300509958404,4.1582217
4.114078594570483,4.1384892
4.11151430922967,4.136169
4.100873705205069,4.1255145
4.113376548011388,4.136348
4.116412833011605,4.141313
4.104698550434191,4.1268783
4.11197206863908,4.135672
4.125104111289213,4.1493263
4.108428897626562,4.1312375
4.131300509958404,4.15671
4.114078594570483,4.137073
4.11151430922967,4.134765
4.100873705205069,4.124108
4.113376548011388,4.135007
4.116412833011605,4.139881
4.104698550434191,4.12554
4.11197206863908,4.1343
