True entropies,Estimated entropies
4.540794824913002,10.557142
4.532207889820836,10.421504
4.536139827181746,10.506983
4.522687812854643,10.388481
4.523179605445312,10.400049
4.5332513116455235,10.45214
4.536520339070871,10.410715
4.544630374300479,10.457022
4.540959631805139,10.268874
4.525268645552097,10.280651
4.540794824913002,10.349101
4.532207889820836,10.222061
4.536139827181746,10.30711
4.522687812854643,10.18955
4.523179605445312,10.201328
4.5332513116455235,10.255641
4.536520339070871,10.221055
4.544630374300479,10.27003
4.540959631805139,10.086214
4.525268645552097,10.103421
4.540794824913002,10.171275
4.532207889820836,10.05197
4.536139827181746,10.135519
4.522687812854643,10.019734
4.523179605445312,10.0316
4.5332513116455235,10.086775
4.536520339070871,10.056356
4.544630374300479,10.107403
4.540959631805139,9.927969
4.525268645552097,9.948259
4.540794824913002,10.015008
4.532207889820836,9.90217
4.536139827181746,9.983653
4.522687812854643,9.869579
4.523179605445312,9.881867
4.5332513116455235,9.936965
4.536520339070871,9.90904
4.544630374300479,9.961263
4.540959631805139,9.786198
4.525268645552097,9.807957
4.540794824913002,9.873166
4.532207889820836,9.765489
4.536139827181746,9.844719
4.522687812854643,9.73218
4.523179605445312,9.745186
4.5332513116455235,9.799373
4.536520339070871,9.773525
4.544630374300479,9.825945
4.540959631805139,9.655113
4.525268645552097,9.677338
4.540794824913002,9.740869
4.532207889820836,9.6373
4.536139827181746,9.714258
4.522687812854643,9.603201
4.523179605445312,9.6170845
4.5332513116455235,9.669968
4.536520339070871,9.646034
4.544630374300479,9.698058
4.540959631805139,9.531278
4.525268645552097,9.553414
4.540794824913002,9.615254
4.532207889820836,9.515059
4.536139827181746,9.5898285
4.522687812854643,9.480227
4.523179605445312,9.495064
4.5332513116455235,9.546537
4.536520339070871,9.524411
4.544630374300479,9.575683
4.540959631805139,9.41276
4.525268645552097,9.434489
4.540794824913002,9.494653
4.532207889820836,9.397383
4.536139827181746,9.470053
4.522687812854643,9.361847
4.523179605445312,9.377641
4.5332513116455235,9.427671
4.536520339070871,9.407283
4.544630374300479,9.457612
4.540959631805139,9.298359
4.525268645552097,9.319507
4.540794824913002,9.377962
4.532207889820836,9.283289
4.536139827181746,9.35402
4.522687812854643,9.247122
4.523179605445312,9.263868
4.5332513116455235,9.312411
4.536520339070871,9.293753
4.544630374300479,9.342942
4.540959631805139,9.18723
4.525268645552097,9.207722
4.540794824913002,9.264342
4.532207889820836,9.172058
4.536139827181746,9.241025
4.522687812854643,9.135384
4.523179605445312,9.153007
4.5332513116455235,9.200057
4.536520339070871,9.183099
4.544630374300479,9.230961
4.540959631805139,9.078711
4.525268645552097,9.09852
4.540794824913002,9.153158
4.532207889820836,9.0631485
4.536139827181746,9.130451
4.522687812854643,9.026116
4.523179605445312,9.04442
4.5332513116455235,9.090032
4.536520339070871,9.074759
4.544630374300479,9.121086
4.540959631805139,8.972267
4.525268645552097,8.991331
4.540794824913002,9.043892
4.532207889820836,8.956152
4.536139827181746,9.021778
4.522687812854643,8.918853
4.523179605445312,8.937564
4.5332513116455235,8.981871
4.536520339070871,8.968188
4.544630374300479,9.01282
4.540959631805139,8.867455
4.525268645552097,8.88564
4.540794824913002,8.936081
4.532207889820836,8.850694
4.536139827181746,8.914563
4.522687812854643,8.813181
4.523179605445312,8.832046
4.5332513116455235,8.875181
4.536520339070871,8.862938
4.544630374300479,8.905767
4.540959631805139,8.763885
4.525268645552097,8.781032
4.540794824913002,8.829375
4.532207889820836,8.746368
4.536139827181746,8.808403
4.522687812854643,8.708699
4.523179605445312,8.727524
4.5332513116455235,8.769617
4.536520339070871,8.758601
4.544630374300479,8.799583
4.540959631805139,8.661186
4.525268645552097,8.677205
4.540794824913002,8.723486
4.532207889820836,8.642848
4.536139827181746,8.702992
4.522687812854643,8.605061
4.523179605445312,8.623735
4.5332513116455235,8.66487
4.536520339070871,8.654831
4.544630374300479,8.693982
4.540959631805139,8.559048
4.525268645552097,8.573925
4.540794824913002,8.618149
4.532207889820836,8.539834
4.536139827181746,8.598082
4.522687812854643,8.501985
4.523179605445312,8.520432
4.5332513116455235,8.560694
4.536520339070871,8.551384
4.544630374300479,8.588792
4.540959631805139,8.457167
4.525268645552097,8.470985
4.540794824913002,8.513145
4.532207889820836,8.437044
4.536139827181746,8.493513
4.522687812854643,8.399215
4.523179605445312,8.41741
4.5332513116455235,8.456861
4.536520339070871,8.448019
4.544630374300479,8.483836
4.540959631805139,8.355343
4.525268645552097,8.368277
4.540794824913002,8.408304
4.532207889820836,8.334286
4.536139827181746,8.389189
4.522687812854643,8.296611
4.523179605445312,8.314514
4.5332513116455235,8.35322
4.536520339070871,8.344564
4.544630374300479,8.379031
4.540959631805139,8.253447
4.525268645552097,8.265692
4.540794824913002,8.303537
4.532207889820836,8.231467
4.536139827181746,8.285041
4.522687812854643,8.194083
4.523179605445312,8.211623
4.5332513116455235,8.249703
4.536520339070871,8.240936
4.544630374300479,8.274257
4.540959631805139,8.151434
4.525268645552097,8.16322
4.540794824913002,8.198824
4.532207889820836,8.12862
4.536139827181746,8.181068
4.522687812854643,8.091606
4.523179605445312,8.108742
4.5332513116455235,8.1463585
4.536520339070871,8.137205
4.544630374300479,8.169574
4.540959631805139,8.049344
4.525268645552097,8.060939
4.540794824913002,8.094275
4.532207889820836,8.025925
4.536139827181746,8.077363
4.522687812854643,7.989326
4.523179605445312,8.00604
4.5332513116455235,8.043354
4.536520339070871,8.033615
4.544630374300479,8.065209
4.540959631805139,7.9474
4.525268645552097,7.9590273
4.540794824913002,7.9901514
4.532207889820836,7.9236937
4.536139827181746,7.974196
4.522687812854643,7.8875375
4.523179605445312,7.9038687
4.5332513116455235,7.94106
4.536520339070871,7.930544
4.544630374300479,7.961576
4.540959631805139,7.846011
4.525268645552097,7.857924
4.540794824913002,7.886949
4.532207889820836,7.8224783
4.536139827181746,7.872096
4.522687812854643,7.7867775
4.523179605445312,7.8027797
4.5332513116455235,7.840068
4.536520339070871,7.828627
4.544630374300479,7.8592844
4.540959631805139,7.7457967
4.525268645552097,7.7582607
4.540794824913002,7.785379
4.532207889820836,7.722973
4.536139827181746,7.771761
4.522687812854643,7.6877646
4.523179605445312,7.7035017
4.5332513116455235,7.741117
4.536520339070871,7.728642
4.544630374300479,7.7590866
4.540959631805139,7.647503
4.525268645552097,7.660769
4.540794824913002,7.686194
4.532207889820836,7.625978
4.536139827181746,7.6739936
4.522687812854643,7.5912733
4.523179605445312,7.6068783
4.5332513116455235,7.644918
4.536520339070871,7.631487
4.544630374300479,7.6618094
4.540959631805139,7.5519657
4.525268645552097,7.566253
4.540794824913002,7.590161
4.532207889820836,7.5322623
4.536139827181746,7.579511
4.522687812854643,7.498026
4.523179605445312,7.513636
4.5332513116455235,7.5520787
4.536520339070871,7.5378537
4.544630374300479,7.5681076
4.540959631805139,7.459949
4.525268645552097,7.4752812
4.540794824913002,7.4978704
4.532207889820836,7.4422164
4.536139827181746,7.4887657
4.522687812854643,7.4084396
4.523179605445312,7.42416
4.5332513116455235,7.4629874
4.536520339070871,7.448209
4.544630374300479,7.4783874
4.540959631805139,7.3718853
4.525268645552097,7.388186
4.540794824913002,7.4096055
4.532207889820836,7.356127
4.536139827181746,7.402039
4.522687812854643,7.322777
4.523179605445312,7.338702
4.5332513116455235,7.377843
4.536520339070871,7.36277
4.544630374300479,7.392803
4.540959631805139,7.2879734
4.525268645552097,7.3050413
4.540794824913002,7.3255076
4.532207889820836,7.274024
4.536139827181746,7.3193884
4.522687812854643,7.241141
4.523179605445312,7.2573204
4.5332513116455235,7.296633
4.536520339070871,7.281525
4.544630374300479,7.3112774
4.540959631805139,7.2081923
4.525268645552097,7.225768
4.540794824913002,7.245406
4.532207889820836,7.195746
4.536139827181746,7.2406344
4.522687812854643,7.1632867
4.523179605445312,7.179826
4.5332513116455235,7.2191906
4.536520339070871,7.2041616
4.544630374300479,7.233494
4.540959631805139,7.13212
4.525268645552097,7.1500735
4.540794824913002,7.1688743
4.532207889820836,7.120878
4.536139827181746,7.165186
4.522687812854643,7.0887203
4.523179605445312,7.1055865
4.5332513116455235,7.14495
4.536520339070871,7.129992
4.544630374300479,7.1589236
4.540959631805139,7.059118
4.525268645552097,7.0772533
4.540794824913002,7.095276
4.532207889820836,7.0487447
4.536139827181746,7.0924373
4.522687812854643,7.016772
4.523179605445312,7.033882
4.5332513116455235,7.07323
4.536520339070871,7.0583467
4.544630374300479,7.0867968
4.540959631805139,6.9884415
4.525268645552097,7.0065937
4.540794824913002,7.0239
4.532207889820836,6.978675
4.536139827181746,7.0217037
4.522687812854643,6.9467735
4.523179605445312,6.964084
4.5332513116455235,7.0033937
4.536520339070871,6.98852
4.544630374300479,7.0165086
4.540959631805139,6.9195437
4.525268645552097,6.937527
4.540794824913002,6.9541736
4.532207889820836,6.910161
4.536139827181746,6.952465
4.522687812854643,6.878194
4.523179605445312,6.8957295
4.5332513116455235,6.9350033
4.536520339070871,6.9201
4.544630374300479,6.9476705
4.540959631805139,6.852029
